FrameCounter,Timestamp,LedState,Region0G,Region1R
12501,6133.890112,1,0.248448286310872,0.12000555667032
12502,6133.906784,2,0.0400883702736503,0.0361265891819861
12503,6133.923456,1,0.248678577921756,0.12009610981627
12504,6133.940096,2,0.0400960833898044,0.0360638193876343
12505,6133.9568,1,0.248665355436921,0.120161966649688
12506,6133.97344,2,0.0400288690918908,0.0361296762210526
12507,6133.990112,1,0.248874711446815,0.120240171639372
12508,6134.006784,2,0.0401820295412349,0.036164662663806
12509,6134.023456,1,0.248925397638685,0.120270013017015
12510,6134.040096,2,0.0401886407836526,0.0361739237810054
12511,6134.056768,1,0.249842156587277,0.120427452009405
12512,6134.07344,2,0.0402150857533235,0.0364373511146784
12513,6134.090112,1,0.250130847506184,0.120713517629566
12514,6134.106784,2,0.0402955225360726,0.0364661634792988
12515,6134.123424,1,0.250562782010809,0.121035598705502
12516,6134.140096,2,0.040342903106733,0.036370465268238
12517,6134.156768,1,0.250524216430039,0.120876101687067
12518,6134.17344,2,0.0403968949198111,0.0363859004635704
12519,6134.190112,1,0.250616773823888,0.12085860846569
12520,6134.206752,2,0.0404630073439885,0.0363879584896147
12521,6134.223424,1,0.251369353585773,0.120957393715817
12522,6134.240096,2,0.0405103879146489,0.0363467979687283
12523,6134.256768,1,0.251620580797646,0.121129238890518
12524,6134.27344,2,0.0404244417632184,0.036338565864551
12525,6134.29008,1,0.251505985929072,0.121133354942607
12526,6134.306752,2,0.0405665834751996,0.0362202293670026
12527,6134.323424,1,0.251486152201819,0.120930639377241
12528,6134.340096,2,0.0405610741065181,0.0361924460154043
12529,6134.356768,1,0.251596339575448,0.121091165408698
12530,6134.37344,2,0.0404619054702522,0.0361656916768282
12531,6134.39008,1,0.251480642833138,0.120961509767906
12532,6134.406752,2,0.040449784859153,0.0361029218824764
12533,6134.423424,1,0.251402409797861,0.121061324031056
12534,6134.440096,2,0.0405004710510223,0.0362068521977146
12535,6134.456768,1,0.251648127641054,0.120948132598618
12536,6134.473408,2,0.0404949616823408,0.036119386090831
12537,6134.49008,1,0.251789167479299,0.12103971475759
12538,6134.506752,2,0.0405500553691553,0.0361543725335844
12539,6134.523424,1,0.251477337211929,0.121116890734252
12540,6134.540096,2,0.0404751279550876,0.0360905737262105
12541,6134.556736,1,0.251561079615887,0.120906972077732
12542,6134.573408,2,0.0404883504399231,0.0360576453095014
12543,6134.59008,1,0.251316463646431,0.120928581351197
12544,6134.606752,2,0.0404597017227796,0.0360813126090111
12545,6134.623424,1,0.251548959004788,0.120968712859061
12546,6134.640096,2,0.0405269160206932,0.0361070379345651
12547,6134.656736,1,0.251361640469619,0.120900797999599
12548,6134.673408,2,0.0404828410712417,0.0361296762210526
12549,6134.69008,1,0.251392492934235,0.120826709062003
12550,6134.706752,2,0.0404850448187142,0.0360895447131883
12551,6134.723424,1,0.251395798555444,0.121017076471103
12552,6134.740064,2,0.040522508525748,0.0361317342470969
12553,6134.756736,1,0.251372659206981,0.121027366601324
12554,6134.773408,2,0.0404729242076151,0.0361492274684736
12555,6134.79008,1,0.251394696681707,0.121019134497147
12556,6134.806752,2,0.0404663129651973,0.0361307052340747
12557,6134.823392,1,0.251277898065661,0.121006786340881
12558,6134.840064,2,0.0404167286470643,0.0361018928694543
12559,6134.856736,1,0.251293324297969,0.120898739973554
12560,6134.873408,2,0.0404608035965159,0.0360720514918116
12561,6134.89008,1,0.251003531505325,0.120819505970848
12562,6134.906752,2,0.0405181010308029,0.0360041366323491
12563,6134.923392,1,0.251258064338407,0.120855521426624
12564,6134.940064,2,0.0404850448187142,0.0359218155905763
12565,6134.956736,1,0.251451994115994,0.120705285525388
12566,6134.973408,2,0.0404630073439885,0.0358271463925376
12567,6134.99008,1,0.251418937903906,0.120780403476006
12568,6135.006752,2,0.0405280178944295,0.0358220013274268
12569,6135.023392,1,0.251215091262692,0.120574600871574
12570,6135.040064,2,0.0404784335762965,0.0357314481814767
12571,6135.056736,1,0.251541245888634,0.120543730480909
12572,6135.073408,2,0.0405423422530012,0.0355956184625516
12573,6135.090048,1,0.251505985929072,0.1205108020642
12574,6135.10672,2,0.0404024042884926,0.0356244308271721
12575,6135.123392,1,0.251618377050174,0.120492279829801
12576,6135.140064,2,0.0404762298288239,0.0357046938429006
12577,6135.156736,1,0.251330788005003,0.120596210145039
12578,6135.173376,2,0.0405092860409126,0.0357016068038341
12579,6135.190048,1,0.251381474196872,0.1205200631814
12580,6135.20672,2,0.0403737555713491,0.0356470691136596
12581,6135.223392,1,0.251497170939182,0.120523150220466
12582,6135.240064,2,0.0404266455106909,0.0357005777908119
12583,6135.256736,1,0.251318667393903,0.120462438452159
12584,6135.273376,2,0.0404740260813513,0.0356995487777898
12585,6135.290048,1,0.251225008126319,0.120584891001796
12586,6135.30672,2,0.0404046080359652,0.0357767247544518
12587,6135.323392,1,0.251182035050604,0.120693966382145
12588,6135.340064,2,0.0404784335762965,0.0357828988325847
12589,6135.356736,1,0.251213989388956,0.120658979939391
12590,6135.373376,2,0.0403979967935474,0.0357232160772995
12591,6135.390048,1,0.251119228247635,0.120379088397364
12592,6135.40672,2,0.0404321548793724,0.0355894443844187
12593,6135.423392,1,0.251285611181815,0.120348218006699
12594,6135.440032,2,0.0404354605005812,0.0355544579416652
12595,6135.456704,1,0.251314259898958,0.120465525491225
12596,6135.473376,2,0.0404949616823408,0.0355760672151306
12597,6135.490048,1,0.251284509308078,0.120320434655101
12598,6135.50672,2,0.0403913855511297,0.0355019782775351
12599,6135.52336,1,0.251282305560606,0.120428481022427
12600,6135.540032,2,0.0404663129651973,0.0355493128765545
12601,6135.556704,1,0.251317565520167,0.120354392084832
12602,6135.573376,2,0.0403869780561845,0.0355482838635323
12603,6135.590048,1,0.251336297373684,0.120410987801051
12604,6135.60672,2,0.0404861466924505,0.0355534289286431
12605,6135.623392,1,0.251384779818081,0.120351305045765
12606,6135.640032,2,0.0404883504399231,0.0355060943296237
12607,6135.656704,1,0.251304343035332,0.12040584273594
12608,6135.673376,2,0.04040020054102,0.035533877681222
12609,6135.690048,1,0.251314259898958,0.120467583517269
12610,6135.70672,2,0.0404508867328893,0.0355812122802414
